q2	x	y	cme	redx	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	tot+	tot-	err
0.045	6.21e-07	0.8029999999999999	301.0	0.08	5.05	-5.05	1.5	-1.5	7.29	-7.29	2.83	-2.83	2.28	-2.28	1.14	-1.14	0.5	-0.5	9.767471525425606
0.065	8.97e-07	0.8029999999999999	301.0	0.111	2.97	-2.97	1.5	-1.5	6.27	-6.27	2.78	-2.78	2.11	-2.11	1.21	-1.21	0.5	-0.5	8.001774803129615
0.065	1.02e-06	0.706	301.0	0.111	4.69	-4.69	1.5	-1.5	5.98	-5.98	3.56	-3.56	1.16	-1.16	1.47	-1.47	0.5	-0.5	8.72849356991228
0.085	1.17e-06	0.805	301.0	0.136	2.95	-2.95	1.5	-1.5	5.54	-5.54	2.57	-2.57	2.12	-2.12	1.37	-1.37	0.5	-0.5	7.3905547829645375
0.085	1.34e-06	0.703	301.0	0.13	2.27	-2.27	1.5	-1.5	4.01	-4.01	1.8	-1.8	1.57	-1.57	1.0	-1.0	0.5	-0.5	5.494351645098809
0.085	1.56e-06	0.604	301.0	0.126	4.78	-4.78	1.5	-1.5	4.52	-4.52	1.03	-1.03	0.76	-0.76	0.24	-0.24	0.5	-0.5	6.872037543552858
0.1	1.51e-06	0.8079999999999999	301.0	0.165	3.48	-3.48	1.5	-1.5	5.49	-5.49	3.16	-3.16	1.97	-1.97	1.73	-1.73	0.5	-0.5	7.833256027987338
0.1	1.73e-06	0.705	301.0	0.166	1.81	-1.81	0.99	-0.99	3.25	-3.25	2.28	-2.28	1.33	-1.33	0.99	-0.99	0.5	-0.5	4.771383447177558
0.1	2.02e-06	0.604	301.0	0.157	1.79	-1.79	0.89	-0.89	2.43	-2.43	1.62	-1.62	0.67	-0.67	0.49	-0.49	0.5	-0.5	3.635175374036306
0.1	2.43e-06	0.502	301.0	0.149	3.75	-3.75	1.5	-1.5	3.49	-3.49	1.11	-1.11	0.46	-0.46	0.2	-0.2	0.5	-0.5	5.475061643488592
0.15	2.07e-06	0.8029999999999999	301.0	0.228	4.35	-4.35	1.5	-1.5	4.58	-4.58	2.37	-2.37	1.94	-1.94	1.75	-1.75	0.5	-0.5	7.3886331618236385
0.15	2.36e-06	0.705	301.0	0.19899999999999998	2.01	-2.01	1.02	-1.02	3.05	-3.05	1.71	-1.71	1.6	-1.6	0.74	-0.74	0.5	-0.5	4.518262940555807
0.15	2.76e-06	0.603	301.0	0.201	1.62	-1.62	0.92	-0.92	2.24	-2.24	1.4	-1.4	0.87	-0.87	0.38	-0.38	0.5	-0.5	3.3689315813770984
0.15	3.31e-06	0.502	301.0	0.201	1.53	-1.53	0.78	-0.78	2.1	-2.1	1.31	-1.31	0.19	-0.19	0.34	-0.34	0.5	-0.5	3.0376141953842657
0.15	4.14e-06	0.402	301.0	0.187	1.97	-1.97	0.83	-0.83	2.32	-2.32	0.82	-0.82	0.11	-0.11	0.17	-0.17	0.5	-0.5	3.2658230203120318
0.15	5.02e-06	0.295	319.0	0.185	3.79	-3.79	1.5	-1.5	3.59	-3.59	1.33	-1.33	-0.24	0.24	0.32	-0.32	0.5	-0.5	5.60634462016027
0.2	3.15e-06	0.7040000000000001	301.0	0.25	2.48	-2.48	0.94	-0.94	2.96	-2.96	1.89	-1.89	1.5	-1.5	0.99	-0.99	0.5	-0.5	4.753714337231465
0.2	3.68e-06	0.603	301.0	0.24600000000000002	1.98	-1.98	0.94	-0.94	2.1	-2.1	1.39	-1.39	0.72	-0.72	0.37	-0.37	0.5	-0.5	3.4353165792980422
0.2	4.41e-06	0.503	301.0	0.24	1.62	-1.62	0.74	-0.74	1.97	-1.97	1.15	-1.15	0.36	-0.36	0.17	-0.17	0.5	-0.5	2.9212839642869373
0.2	5.52e-06	0.402	301.0	0.235	1.48	-1.48	0.65	-0.65	1.84	-1.84	1.18	-1.18	0.04	-0.04	0.3	-0.3	0.5	-0.5	2.735415873317986
0.2	6.69e-06	0.295	319.0	0.22699999999999998	1.65	-1.65	0.78	-0.78	1.63	-1.63	0.86	-0.86	-0.24	0.24	0.1	-0.1	0.5	-0.5	2.606722079547415
0.2	8.49e-06	0.233	319.0	0.22399999999999998	1.61	-1.61	0.61	-0.61	2.13	-2.13	1.06	-1.06	-0.19	0.19	0.27	-0.27	0.5	-0.5	2.955283404345512
0.2	1.1e-05	0.18	319.0	0.20800000000000002	2.78	-2.78	1.5	-1.5	2.79	-2.79	0.95	-0.95	-0.21	0.21	0.26	-0.26	0.5	-0.5	4.333208972574482
0.2	3.98e-05	0.05	319.0	0.21100000000000002	14.92	-14.92	11.94	-11.94	5.17	-5.17	-0.54	0.54	-3.1	3.1	-4.6	4.6	0.5	-0.5	20.56600350092356
0.2	0.000251	0.008	319.0	0.18100000000000002	13.45	-13.45	6.17	-6.17	2.96	-2.96	-0.03	0.03	-1.23	1.23	2.59	-2.59	0.5	-0.5	15.360823545630614
0.25	3.94e-06	0.703	301.0	0.28	4.09	-4.09	1.5	-1.5	2.83	-2.83	1.78	-1.78	1.28	-1.28	0.89	-0.89	0.5	-0.5	5.708406082261492
0.25	4.6e-06	0.603	301.0	0.28	2.09	-2.09	0.92	-0.92	2.58	-2.58	1.67	-1.67	1.27	-1.27	0.36	-0.36	0.5	-0.5	4.049975308566708
0.25	5.52e-06	0.502	301.0	0.282	1.79	-1.79	0.92	-0.92	1.87	-1.87	1.27	-1.27	0.27	-0.27	0.28	-0.28	0.5	-0.5	3.0514914386247263
