y	r	N(r,Y)
0.0	2.9999999999999997e-06	3.3086866579878915e-12
0.0	3.1291009577556375e-06	3.588906949403281e-12
0.0	3.2637576012757556e-06	3.892774991243186e-12
0.0	3.4042090120114036e-06	4.222289184951933e-12
0.0	3.550704559961752e-06	4.579780998881233e-12
0.0	3.703504346427883e-06	4.967359856777875e-12
0.0	3.862879665819886e-06	5.38769029390096e-12
0.0	4.029113487337261e-06	5.8436588901145115e-12
0.0	4.202500957377734e-06	6.338041202980094e-12
0.0	4.3833499235665515e-06	6.874278923874044e-12
0.0	4.5719814813367325e-06	7.455702721870239e-12
0.0	4.768730544030612e-06	8.086309399857328e-12
0.0	4.973946437534918e-06	8.770095760723962e-12
0.0	5.187993520505251e-06	9.511724741173566e-12
0.0	5.411251831281018e-06	1.031597030021203e-11
0.0	5.644117762639461e-06	1.1187939463752627e-11
0.0	5.887004765586915e-06	1.2133627436128336e-11
0.0	6.140344083436685e-06	1.3159140443974593e-11
0.0	6.404585517476965e-06	1.427113982543915e-11
0.0	6.680198225588353e-06	1.5476953052484532e-11
0.0	6.967671555228688e-06	1.678446270858558e-11
0.0	7.267515912264268e-06	1.8202328533334367e-11
0.0	7.580263667190167e-06	1.9739765377835283e-11
0.0	7.906470100348338e-06	2.1406765249309956e-11
0.0	8.2467143878221e-06	2.3214319355702173e-11
0.0	8.601600629757127e-06	2.5174196061072962e-11
0.0	8.97175892293484e-06	2.7299384974810437e-11
0.0	9.3578464795027e-06	2.9603541840117487e-11
0.0	9.760548793847392e-06	3.2101876712431476e-11
0.0	1.0180580859682836e-05	3.4810709870214396e-11
0.0	1.0618688439514093e-05	3.774780488186025e-11
0.0	1.1075649388730775e-05	4.093214656109012e-11
0.0	1.1552275036681039e-05	4.438471812306943e-11
0.0	1.2049411627178395e-05	4.812794607289561e-11
0.0	1.2567941820998635e-05	5.218625531711041e-11
0.0	1.3108786263034654e-05	5.6586180186002366e-11
0.0	1.3672905216891896e-05	6.135636443360681e-11
0.0	1.4261300269826188e-05	6.652800532691572e-11
0.0	1.4875016111051287e-05	7.213463160127276e-11
0.0	1.551514238657371e-05	7.821299163879303e-11
0.0	1.6182815633847658e-05	8.480249835685072e-11
0.0	1.6879221299685207e-05	9.194622840880129e-11
0.0	1.760559584500481e-05	9.96904780947716e-11
0.0	1.8363228940154412e-05	1.0808576256238211e-10
0.0	1.9153465754707738e-05	1.1718670478444437e-10
0.0	1.9977709345798634e-05	1.270524796481709e-10
0.0	2.083742314923409e-05	1.3774725804438503e-10
0.0	2.1734133577809298e-05	1.4934042891212584e-10
0.0	2.2669432731437386e-05	1.6190726537246292e-10
0.0	2.3644981223905912e-05	1.7552959086231112e-10
0.0	2.4662511131279353e-05	1.9029577913443063e-10
0.0	2.5723829067181817e-05	2.0630153141354413e-10
0.0	2.683081939042031e-05	2.2365076457475652e-10
0.0	2.7985447550644247e-05	2.424560552327648e-10
0.0	2.9189763577980414e-05	2.6283919485337037e-10
0.0	3.0445905722839716e-05	2.8493241099880606e-10
0.0	3.1756104252358535e-05	3.088787003946436e-10
0.0	3.312268541021439e-05	3.348332722197256e-10
0.0	3.454807554684684e-05	3.629641032176778e-10
0.0	3.603480542741753e-05	3.934531589422363e-10
0.0	3.758551472515682e-05	4.26497726024877e-10
0.0	3.920295670807561e-05	4.6231152239784024e-10
0.0	4.0890003127364066e-05	5.011260295617603e-10
0.0	4.2649649316155386e-05	5.431919358755977e-10
0.0	4.448501950770797e-05	5.887812459803854e-10
0.0	4.639937238244908e-05	6.381879469330443e-10
0.0	4.839610685372739e-05	6.91731227853154e-10
0.0	5.047876810254753e-05	7.497564791236755e-10
0.0	5.265105387200207e-05	8.12637734881605e-10
0.0	5.491682103257522e-05	8.80780559597838e-10
0.0	5.7280092429975356e-05	9.546239354563113e-10
0.0	5.974506402765579e-05	1.0346435930230768e-09
0.0	6.231611235670332e-05	1.1213547868038631e-09
0.0	6.499780228632277e-05	1.2153156259131492e-09
0.0	6.779489512871472e-05	1.3171304047432386e-09
0.0	7.071235709273488e-05	1.4274541548786601e-09
0.0	7.375536810134513e-05	1.5469958647429394e-09
0.0	7.692933098851289e-05	1.6765236976468145e-09
0.0	8.023988109188553e-05	1.8168695437026372e-09
0.0	8.369289625827251e-05	1.968934459917193e-09
0.0	8.729450727970124e-05	2.1336942213068255e-09
0.0	9.10511087785734e-05	2.312205649168675e-09
0.0	9.496937056124893e-05	2.5056132724188274e-09
0.0	9.905624946021803e-05	2.715156655064277e-09
0.0	0.00010331900168588338	2.9421778346971905e-09
0.0	0.0001077651957098847	3.1881305373460123e-09
0.0	0.00011240272570284132	3.454588948237358e-09
0.0	0.00011723982555036855	3.743257259714028e-09
0.0	0.00012228508347225406	4.055981550621368e-09
0.0	0.00012754745727075275	4.394760111381402e-09
0.0	0.00013303629023506981	4.761757210758333e-09
0.0	0.00013876132773027133	5.159316085467935e-09
0.0	0.00014473273450007866	5.5899737061437804e-09
0.0	0.00015096111271426313	6.056477208638e-09
0.0	0.00015745752079268587	6.5618007694112634e-09
0.0	0.0001642334930394072	7.109164479324193e-09
0.0	0.0001713010601217213	7.702054549696413e-09
0.0	0.0001786727704304784	8.344245294722441e-09
0.0	0.00018636171235962071	9.039822779222106e-09
0.0	0.00019438153754449032	9.793210575814726e-09
0.0	0.00020274648510015974	1.060919718742781e-08
0.0	0.00021147140690283263	1.1492966356385637e-08
0.0	0.00022057179395919564	1.245012959394387e-08
0.0	0.0002300638039105332	1.3486761152314841e-08
0.0	0.00023996428972045155	1.4609435772250379e-08
0.0	0.0002502908295971388	1.5825270538449843e-08
0.0	0.0002610617582032872	1.7141968289280385e-08
0.0	0.0002722961992090922	1.856786679965694e-08
0.0	0.00028401409924613016	2.0111989962323662e-08
0.0	0.00029623626332239076	2.1784104298205875e-08
0.0	0.0003089843917613481	2.3594780129698734e-08
0.0	0.00032228111873065915	2.5555456750758765e-08
0.0	0.00033615005242888834	2.7678514147311262e-08
0.0	0.00035061581700161445	2.997734960263898e-08
0.0	0.0003657040962613424	3.246646096410899e-08
0.0	0.0003814416792888425	3.5161536793282266e-08
0.0	0.000397856507996879	3.807955362145066e-08
0.0	0.0004149777267407826	4.1238880643668097e-08
0.0	0.0004328357340639471	4.465939429376675e-08
0.0	0.00045146223667012086	4.8362600590934335e-08
0.0	0.0004708903057183259	5.237176814443245e-08
0.0	0.0004911544355403534	5.6712072149522896e-08
0.0	0.0005122906048850836	6.14107497076688e-08
0.0	0.0005343363407983772	6.649726747021134e-08
0.0	0.0005573307852519483	7.200350338187889e-08
0.0	0.000581314764639525	7.796394296821774e-08
0.0	0.0006063308622636774	8.441589161023444e-08
0.0	0.000632423493942025	9.139970336136116e-08
0.0	0.000659638986867053	9.895902886025709e-08
0.0	0.000688025661859552	1.0714108333864658e-07
0.0	0.000717633919161727	1.1599693572339476e-07
0.0	0.0007485163279222979	1.2558182160837816e-07
0.0	0.0007807277195324659	1.3595548065126195e-07
0.0	0.0008143252849784713	1.4718252239198648e-07
0.0	0.00084936867638359	1.5933282015989647e-07
0.0	0.000885920112919844	1.7248193751040475e-07
0.0	0.0009240444912774898	1.8671158885652517e-07
0.0	0.0009638095008884048	2.0211013673776534e-07
0.0	0.0010052857441079646	2.1877312927909287e-07
0.0	0.0010485468615687745	2.368038809485995e-07
0.0	0.0010936696629288403	2.5631409950044315e-07
0.0	0.0011407342632463076	2.7742456321089293e-07
0.0	0.0011898242252228988	3.0026585251530236e-07
0.0	0.0012410267075686108	3.249791402648583e-07
0.0	0.0012944326197510897	3.517170447109308e-07
0.0	0.001350136783404426	3.8064455121222807e-07
0.0	0.0014082381006839686	4.1194000732769354e-07
0.0	0.0014688397298660634	4.457961966242152e-07
0.0	0.0015320492685044786	4.824214996368426e-07
0.0	0.0015979789444687295	5.220411455342244e-07
0.0	0.0016667458152034831	5.648985650363869e-07
0.0	0.0017384719755628084	6.112568494698323e-07
0.0	0.0018132847745883065	6.61400326951167e-07
0.0	0.001891317041615997	7.156362632487756e-07
0.0	0.001972707322113394	7.742966975365917e-07
0.0	0.0020576001236655285	8.377404239201525e-07
0.0	0.0021461461725466413	9.063551299481887e-07
0.0	0.0022385026813330996	9.805597039891367e-07
0.0	0.002334833628032657	1.060806725905472e-06
0.0	0.002435310047225686	1.1475851535713844e-06
0.0	0.0025401103337352763	1.2414232223312283e-06
0.0	0.002649420559365351	1.3428915726088064e-06
0.0	0.0027634348032691994	1.4526066244302527e-06
0.0	0.002882355496534974	1.5712342169571514e-06
0.0	0.0030063937815999406	1.6994935354563978e-06
0.0	0.0031357698871316564	1.8381613459128587e-06
0.0	0.0032707135190416545	1.9880765620428065e-06
0.0	0.003411464268325854	2.1501451715755238e-06
0.0	0.0035582720364558586	2.325345547671276e-06
0.0	0.003711397479076377	2.51473417633985e-06
0.0	0.0038711124687965874	2.7194518315010185e-06
0.0	0.004037700577897068	2.9407302335471286e-06
0.0	0.004211457581809403	3.179899225935756e-06
0.0	0.004392691984262353	3.438394512556009e-06
0.0	0.004581725565026951	3.7177659967246868e-06
0.0	0.004778893951233108	4.019686769995978e-06
0.0	0.004984547213272052	4.345962797969172e-06
0.0	0.005199050486342596	4.698543359160645e-06
0.0	0.0054227846187448435	5.079532292007194e-06
0.0	0.005656146848072349	5.491200114393635e-06
0.0	0.005899551506503246	5.935997078432287e-06
0.0	0.006153430756442674	6.416567235767445e-06
0.0	0.006418235357822596	6.935763586901622e-06
0.0	0.006694435468421267	7.496664398809472e-06
0.0	0.006982521478623434	8.102590777436802e-06
0.0	0.007283004882103306	8.757125592229187e-06
0.0	0.007596419183976154	9.464133853054335e-06
